date,ticker,close_primary,close_reference,matched,close_diff_pct,mismatch
2026-08-06,ANTM,3080.0,3080,True,0.0,False
2026-08-06,ASII,5100.0,5100,True,0.0,False
2026-08-06,BBCA,6350.0,6350,True,0.0,False
2026-08-06,BBNI,3620.0,3620,True,0.0,False
2026-08-06,BBRI,3040.0,3040,True,0.0,False
2026-08-06,BBTN,1220.0,1220,True,0.0,False
2026-08-06,BMRI,4200.0,4200,True,0.0,False
2026-08-06,BRPT,1875.0,1875,True,0.0,False
2026-08-06,BUMI,179.0,179,True,0.0,False
2026-08-06,CPIN,3160.0,3160,True,0.0,False
2026-08-06,CUAN,720.0,720,True,0.0,False
2026-08-06,DEWA,474.0,474,True,0.0,False
2026-08-06,EMTK,530.0,530,True,0.0,False
2026-08-06,ESSA,625.0,625,True,0.0,False
2026-08-06,EXCL,2500.0,2500,True,0.0,False
2026-08-06,GOTO,50.0,50,True,0.0,False
2026-08-06,HRTA,2120.0,2120,True,0.0,False
2026-08-06,ICBP,7450.0,7450,True,0.0,False
2026-08-06,INCO,5450.0,5450,True,0.0,False
2026-08-06,INDF,7275.0,7275,True,0.0,False
2026-08-06,INDY,2550.0,2550,True,0.0,False
2026-08-06,INKP,8300.0,8300,True,0.0,False
2026-08-06,ISAT,1900.0,1900,True,0.0,False
2026-08-06,ITMG,24700.0,24700,True,0.0,False
2026-08-06,JPFA,2210.0,2210,True,0.0,False
2026-08-06,KLBF,790.0,790,True,0.0,False
2026-08-06,MAPI,1690.0,1690,True,0.0,False
2026-08-06,MBMA,530.0,530,True,0.0,False
2026-08-06,MDKA,2840.0,2840,True,0.0,False
2026-08-06,MEDC,1290.0,1290,True,0.0,False
2026-08-06,NCKL,935.0,935,True,0.0,False
2026-08-06,PGAS,1505.0,1505,True,0.0,False
2026-08-06,PGEO,1090.0,1090,True,0.0,False
2026-08-06,PTBA,2350.0,2350,True,0.0,False
2026-08-06,SCMA,202.0,202,True,0.0,False
2026-08-06,TLKM,2650.0,2650,True,0.0,False
2026-08-06,UNTR,23800.0,23800,True,0.0,False
2026-08-06,UNVR,1805.0,1805,True,0.0,False
2026-08-06,WIFI,1965.0,1965,True,0.0,False
