date,ticker,close_primary,close_reference,matched,close_diff_pct,mismatch
2026-08-24,ISAT,2630.0,2630,True,0.0,False
2026-08-24,ITMG,25400.0,25400,True,0.0,False
2026-08-24,JPFA,2210.0,2210,True,0.0,False
2026-08-24,KLBF,805.0,805,True,0.0,False
2026-08-24,MAPI,1500.0,1500,True,0.0,False
2026-08-24,MBMA,565.0,565,True,0.0,False
2026-08-24,MDKA,2960.0,2960,True,0.0,False
2026-08-24,MEDC,1400.0,1400,True,0.0,False
2026-08-24,NCKL,955.0,955,True,0.0,False
2026-08-24,PGAS,1540.0,1540,True,0.0,False
2026-08-24,PGEO,1065.0,1065,True,0.0,False
2026-08-24,PTBA,2480.0,2480,True,0.0,False
2026-08-24,SCMA,210.0,210,True,0.0,False
2026-08-24,TLKM,2620.0,2620,True,0.0,False
2026-08-24,UNTR,24125.0,24125,True,0.0,False
2026-08-24,UNVR,1800.0,1800,True,0.0,False
2026-08-24,WIFI,2060.0,2060,True,0.0,False
2026-08-26,AADI,10000.0,10000,True,0.0,False
2026-08-26,ADMR,1685.0,1685,True,0.0,False
2026-08-26,ADRO,2610.0,2610,True,0.0,False
2026-08-26,AKRA,1365.0,1365,True,0.0,False
2026-08-26,AMMN,4390.0,4390,True,0.0,False
2026-08-26,AMRT,1380.0,1380,True,0.0,False
2026-08-26,ANTM,3160.0,3160,True,0.0,False
2026-08-26,ASII,4780.0,4780,True,0.0,False
2026-08-26,BBCA,6350.0,6350,True,0.0,False
2026-08-26,BBNI,3680.0,3680,True,0.0,False
2026-08-26,BBRI,3130.0,3130,True,0.0,False
2026-08-26,BBTN,1205.0,1205,True,0.0,False
2026-08-26,BMRI,4160.0,4160,True,0.0,False
2026-08-26,BRPT,1750.0,1750,True,0.0,False
2026-08-26,BUMI,184.0,184,True,0.0,False
2026-08-26,CPIN,2970.0,2970,True,0.0,False
2026-08-26,CUAN,770.0,770,True,0.0,False
2026-08-26,DEWA,420.0,420,True,0.0,False
2026-08-26,EMTK,500.0,500,True,0.0,False
2026-08-26,ESSA,605.0,605,True,0.0,False
2026-08-26,EXCL,2700.0,2700,True,0.0,False
2026-08-26,GOTO,50.0,50,True,0.0,False
2026-08-26,HRTA,2320.0,2320,True,0.0,False
2026-08-26,ICBP,7850.0,7850,True,0.0,False
2026-08-26,INCO,5200.0,5200,True,0.0,False
2026-08-26,INDF,7275.0,7275,True,0.0,False
2026-08-26,INDY,2650.0,2650,True,0.0,False
2026-08-26,INKP,8725.0,8725,True,0.0,False
2026-08-26,ISAT,2480.0,2480,True,0.0,False
2026-08-26,ITMG,25100.0,25100,True,0.0,False
2026-08-26,JPFA,2140.0,2140,True,0.0,False
2026-08-26,KLBF,805.0,805,True,0.0,False
2026-08-26,MAPI,1455.0,1455,True,0.0,False
2026-08-26,MBMA,545.0,545,True,0.0,False
2026-08-26,MDKA,3020.0,3020,True,0.0,False
2026-08-26,MEDC,1320.0,1320,True,0.0,False
2026-08-26,NCKL,940.0,940,True,0.0,False
2026-08-26,PGAS,1520.0,1520,True,0.0,False
2026-08-26,PGEO,1005.0,1005,True,0.0,False
2026-08-26,PTBA,2420.0,2420,True,0.0,False
2026-08-26,SCMA,204.0,204,True,0.0,False
2026-08-26,TLKM,2600.0,2600,True,0.0,False
2026-08-26,UNTR,23850.0,23850,True,0.0,False
2026-08-26,UNVR,1765.0,1765,True,0.0,False
2026-08-26,WIFI,1970.0,1970,True,0.0,False
